58698,0,-68.09
58708,0.01,-68.09
58719,0.021,-68.09
58728,0.03,-68.09
58738,0.04,-68.09
58748,0.05,-68.09
58759,0.061,-68.09
58768,0.07,-68.09
58778,0.08,-68.09
58788,0.09,-68.09
58799,0.101,-68.09
58809,0.111,-68.09
58818,0.12,-68.09
58828,0.13,-68.09
58839,0.141,-68.09
58849,0.151,-68.09
58858,0.16,-68.09
58868,0.17,-68.09
58878,0.18,-68.09
58889,0.191,-68.09
58898,0.2,-68.09
58908,0.21,-68.09
58918,0.22,-68.09
58929,0.231,-68.09
58939,0.241,-68.09
58948,0.25,-68.09
58958,0.26,-68.09
58969,0.271,-68.09
58979,0.281,-68.09
58988,0.29,-68.09
58998,0.3,-68.09
59009,0.311,-68.09
59019,0.321,-68.09
59028,0.33,-68.09
59038,0.34,-68.09
59048,0.35,-68.09
59059,0.361,-68.09
59069,0.371,-68.09
59078,0.38,-68.09
59088,0.39,-68.09
59099,0.401,-68.09
59109,0.411,-68.09
59118,0.42,-68.09
59128,0.43,-68.09
59139,0.441,-68.09
59149,0.451,-68.09
59158,0.46,-68.09
59168,0.47,-68.09
59179,0.481,-67.9
59189,0.491,-67.54
59199,0.501,-67.17
59208,0.51,-66.26
59218,0.52,-64.98
59229,0.531,-63.7
59239,0.541,-62.24
59248,0.55,-60.96
59258,0.56,-59.68
59269,0.571,-58.22
59279,0.581,-57.3
59288,0.59,-56.57
59298,0.6,-55.84
59309,0.611,-55.29
59319,0.621,-54.19
59329,0.631,-53.46
59338,0.64,-53.1
59348,0.65,-52.73
59359,0.661,-52.55
59369,0.671,-52.18
59378,0.68,-52
59388,0.69,-52
59399,0.701,-52
59409,0.711,-51.82
59418,0.72,-51.63
59428,0.73,-51.63
59439,0.741,-51.63
59449,0.751,-51.63
59459,0.761,-51.63
59468,0.77,-51.63
59479,0.781,-51.63
59489,0.791,-51.63
59499,0.801,-51.63
59508,0.81,-51.82
59518,0.82,-52
59529,0.831,-52.37
59539,0.841,-52.73
59548,0.85,-52.73
59558,0.86,-53.1
59569,0.871,-53.46
59579,0.881,-53.83
59589,0.891,-54.19
59598,0.9,-54.38
59609,0.911,-54.56
59619,0.921,-54.56
59629,0.931,-54.56
59638,0.94,-54.56
59649,0.951,-54.38
59659,0.961,-54.38
59669,0.971,-54.56
59678,0.98,-54.56
59688,0.99,-54.56
59699,1.001,-54.56
59709,1.011,-54.56
59718,1.02,-54.56
59728,1.03,-54.56
59739,1.041,-54.56
59749,1.051,-54.56
59759,1.061,-54.56
59768,1.07,-54.56
59779,1.081,-54.56
59789,1.091,-54.56
59799,1.101,-54.56
59808,1.11,-54.56
59819,1.121,-54.56
59829,1.131,-54.56
59839,1.141,-54.56
59848,1.15,-54.56
59858,1.16,-54.56
59869,1.171,-54.56
59879,1.181,-54.56
59889,1.191,-54.56
59898,1.2,-54.38
59909,1.211,-54.01
59919,1.221,-53.65
59929,1.231,-53.28
59938,1.24,-52.91
59949,1.251,-52.73
59959,1.261,-52.73
59969,1.271,-52.55
59978,1.28,-52.18
59988,1.29,-52
59999,1.301,-51.82
60009,1.311,-51.45
60019,1.321,-51.27
60028,1.33,-51.09
60039,1.341,-50.9
60049,1.351,-50.72
60059,1.361,-50.54
60068,1.37,-50.54
60079,1.381,-50.54
60089,1.391,-50.54
60099,1.401,-50.54
60108,1.41,-50.54
60119,1.421,-50.35
60129,1.431,-50.35
60139,1.441,-50.54
60148,1.45,-50.54
60158,1.46,-50.54
60169,1.471,-50.54
60179,1.481,-50.54
60189,1.491,-50.54
60198,1.5,-50.72
60209,1.511,-50.9
60219,1.521,-51.09
60229,1.531,-51.27
60238,1.54,-51.27
60249,1.551,-51.45
60259,1.561,-51.45
60269,1.571,-51.45
60278,1.58,-51.63
60289,1.591,-51.63
60299,1.601,-51.63
60309,1.611,-51.45
60319,1.621,-51.45
60328,1.63,-51.63
60339,1.641,-51.63
60349,1.651,-51.63
60359,1.661,-51.45
60368,1.67,-51.45
60379,1.681,-51.63
60389,1.691,-51.63
60399,1.701,-51.63
60408,1.71,-51.63
60419,1.721,-51.63
60429,1.731,-51.45
60439,1.741,-51.45
60449,1.751,-51.63
60459,1.761,-51.63
60469,1.771,-51.63
60479,1.781,-51.63
60489,1.791,-51.63
60498,1.8,-51.63
60509,1.811,-51.63
60519,1.821,-51.63
60529,1.831,-51.63
60538,1.84,-51.63
60549,1.851,-51.45
60559,1.861,-51.45
60569,1.871,-51.45
60578,1.88,-51.27
60589,1.891,-51.27
60599,1.901,-51.27
60609,1.911,-51.27
60619,1.921,-51.27
60628,1.93,-51.09
60639,1.941,-50.9
60649,1.951,-50.9
60659,1.961,-50.9
60668,1.97,-50.9
60679,1.981,-50.9
60689,1.991,-50.9
60699,2.001,-50.9
60708,2.01,-50.9
60719,2.021,-50.9
60729,2.031,-50.9
60739,2.041,-50.9
60749,2.051,-50.9
60759,2.061,-50.9
60769,2.071,-50.9
60779,2.081,-50.9
60789,2.091,-50.9
60798,2.1,-50.9
60809,2.111,-50.9
60819,2.121,-50.9
60829,2.131,-50.72
60838,2.14,-50.54
60849,2.151,-50.72
60859,2.161,-50.9
60869,2.171,-50.9
60879,2.181,-50.9
60889,2.191,-50.9
60899,2.201,-50.9
60909,2.211,-50.9
60919,2.221,-50.9
60929,2.231,-50.9
60939,2.241,-50.9
60949,2.251,-50.9
60959,2.261,-50.9
60968,2.27,-50.9
60979,2.281,-50.9
60989,2.291,-50.9
60999,2.301,-50.9
61009,2.311,-50.9
61019,2.321,-50.9
61029,2.331,-50.9
