1.04,-67.36,1.04,-53.1,1.04,-66.26
1.05,-67.36,1.051,-53.1,1.049,-66.26
1.06,-67.36,1.061,-53.1,1.059,-65.71
1.07,-67.36,1.07,-53.1,1.07,-64.8
1.081,-67.36,1.08,-53.1,1.08,-62.97
1.09,-67.36,1.091,-53.1,1.089,-60.04
1.1,-67.36,1.101,-53.1,1.099,-57.3
1.11,-67.36,1.11,-53.1,1.11,-54.56
1.121,-67.36,1.12,-53.1,1.12,-52
1.13,-67.36,1.131,-53.28,1.13,-49.26
1.14,-67.36,1.141,-53.28,1.139,-46.52
1.15,-67.36,1.151,-53.1,1.15,-44.14
1.161,-67.36,1.16,-53.1,1.16,-41.58
1.17,-67.36,1.171,-53.1,1.17,-39.02
1.18,-67.36,1.181,-53.1,1.179,-36.64
1.19,-67.36,1.191,-53.1,1.19,-34.27
1.201,-67.36,1.2,-53.1,1.2,-32.07
1.21,-67.36,1.21,-53.1,1.21,-30.43
1.22,-67.36,1.221,-53.1,1.219,-28.6
1.23,-67.36,1.231,-53.1,1.229,-26.96
1.24,-67.36,1.24,-53.1,1.24,-25.68
1.251,-67.54,1.25,-53.1,1.25,-24.58
1.26,-67.54,1.261,-53.1,1.26,-23.85
1.27,-67.17,1.271,-53.1,1.269,-22.93
1.28,-67.17,1.28,-53.1,1.28,-22.2
1.291,-67.36,1.29,-52.91,1.29,-21.47
1.3,-67.36,1.301,-52.91,1.3,-20.92
1.31,-67.36,1.311,-53.1,1.309,-20.56
1.32,-67.36,1.321,-53.1,1.32,-20.19
1.331,-67.36,1.33,-53.1,1.33,-20.19
1.34,-67.36,1.341,-53.1,1.34,-20.01
1.35,-67.54,1.351,-53.1,1.349,-19.83
1.36,-67.54,1.361,-52.91,1.359,-19.83
1.371,-67.36,1.37,-52.91,1.37,-19.64
1.381,-67.36,1.38,-53.1,1.38,-19.83
1.39,-67.36,1.391,-53.1,1.39,-20.56
1.4,-67.36,1.401,-53.1,1.399,-22.2
1.41,-67.36,1.41,-53.1,1.41,-24.4
1.421,-67.36,1.42,-53.1,1.42,-26.59
1.43,-67.36,1.431,-53.1,1.43,-29.7
1.44,-67.36,1.441,-53.1,1.439,-32.44
1.45,-67.36,1.451,-53.1,1.45,-35.18
1.461,-67.36,1.46,-53.1,1.46,-38.11
1.47,-67.54,1.471,-53.1,1.47,-41.4
1.48,-67.54,1.481,-53.1,1.479,-45.05
1.49,-67.36,1.491,-53.1,1.49,-48.71
1.501,-67.36,1.5,-53.1,1.5,-52.18
1.51,-67.36,1.51,-53.1,1.51,-55.84
1.52,-67.36,1.521,-53.1,1.52,-60.04
1.53,-67.36,1.531,-53.1,1.529,-63.15
1.541,-67.36,1.54,-53.1,1.54,-64.98
1.551,-67.36,1.55,-52.91,1.55,-66.99
1.56,-67.36,1.561,-52.91,1.56,-68.45
1.57,-67.36,1.571,-53.1,1.569,-68.45
1.58,-67.36,1.58,-53.1,1.58,-68.45
1.591,-67.36,1.59,-53.1,1.59,-68.45
1.6,-67.36,1.601,-53.1,1.6,-68.45
1.61,-67.36,1.611,-53.1,1.609,-68.45
1.62,-67.36,1.621,-53.1,1.62,-68.45
1.631,-67.36,1.63,-53.1,1.63,-68.45
1.64,-67.36,1.641,-53.1,1.64,-68.45
1.65,-67.36,1.651,-53.1,1.649,-68.45
1.66,-67.36,1.661,-53.1,1.66,-67.72
1.671,-67.36,1.67,-53.1,1.67,-65.53
1.681,-67.36,1.68,-53.1,1.68,-63.15
1.69,-67.36,1.691,-53.1,1.69,-60.96
1.7,-67.36,1.701,-53.1,1.699,-58.22
1.71,-67.36,1.71,-53.1,1.71,-55.47
1.721,-67.36,1.72,-53.1,1.72,-52.91
1.73,-67.36,1.731,-53.1,1.73,-50.35
1.74,-67.36,1.741,-53.1,1.739,-47.8
1.75,-67.36,1.75,-53.1,1.75,-45.42
1.761,-67.36,1.76,-53.1,1.76,-43.04
1.77,-67.36,1.771,-53.1,1.77,-40.48
1.78,-67.36,1.781,-53.1,1.779,-38.11
1.79,-67.36,1.791,-53.1,1.79,-36.1
1.801,-67.36,1.8,-53.1,1.8,-33.9
1.81,-67.36,1.811,-53.1,1.81,-32.07
1.82,-67.36,1.821,-53.1,1.82,-30.61
1.83,-67.36,1.831,-53.1,1.83,-28.78
1.841,-67.36,1.84,-53.1,1.84,-27.5
1.851,-67.36,1.85,-53.1,1.85,-26.41
1.86,-67.36,1.861,-53.1,1.86,-25.49
1.87,-67.36,1.871,-53.1,1.869,-24.76
1.88,-67.36,1.88,-53.1,1.88,-24.03
1.891,-67.54,1.89,-53.1,1.89,-23.3
1.9,-67.54,1.901,-53.1,1.9,-22.57
1.91,-67.36,1.911,-53.1,1.909,-22.39
1.92,-67.36,1.921,-53.1,1.92,-22.39
1.931,-67.36,1.93,-53.1,1.93,-22.2
1.94,-67.36,1.941,-53.1,1.94,-22.02
1.95,-67.36,1.951,-53.1,1.95,-21.84
1.96,-67.36,1.961,-53.1,1.96,-21.47
1.971,-67.36,1.97,-53.1,1.97,-21.29
1.98,-67.36,1.981,-53.1,1.98,-21.29
1.99,-67.17,1.991,-53.1,1.99,-22.02
2,-67.17,2.001,-53.1,1.999,-22.93
2.011,-67.36,2.01,-53.1,2.01,-24.76
2.021,-67.36,2.02,-53.1,2.02,-26.96
2.03,-67.36,2.031,-53.1,2.03,-29.33
2.04,-67.36,2.041,-53.1,2.039,-32.26
2.05,-67.36,2.05,-53.1,2.05,-35.18
2.061,-67.54,2.06,-52.91,2.06,-38.84
2.07,-67.54,2.071,-52.91,2.07,-41.76
2.08,-67.36,2.081,-53.1,2.08,-45.05
2.09,-67.36,2.091,-53.1,2.09,-48.16
2.101,-67.36,2.1,-53.1,2.1,-51.27
2.11,-67.36,2.111,-53.1,2.11,-54.56
2.12,-67.36,2.121,-53.1,2.12,-57.48
2.13,-67.36,2.131,-53.1,2.13,-61.14
2.141,-67.36,2.14,-53.1,2.14,-64.06
2.15,-67.36,2.15,-53.1,2.15,-65.89
2.16,-67.36,2.161,-53.1,2.16,-66.81
2.17,-67.36,2.171,-53.1,2.169,-66.99
2.181,-67.36,2.18,-53.1,2.18,-66.99
2.191,-67.36,2.19,-53.1,2.19,-66.99
2.2,-67.36,2.201,-53.1,2.2,-66.99
2.21,-67.36,2.211,-53.1,2.209,-66.99
2.22,-67.36,2.221,-52.91,2.22,-66.99
2.231,-67.36,2.23,-52.91,2.23,-66.99
2.24,-67.36,2.241,-53.1,2.24,-66.99
2.25,-67.36,2.251,-53.1,2.25,-66.62
2.26,-67.36,2.261,-53.1,2.26,-65.53
2.271,-67.36,2.27,-53.1,2.27,-63.33
2.28,-67.36,2.281,-53.1,2.28,-60.59
